FileName	Line	LNbr	EnjType
Espronceda,_José_de__280n~~Dido_y_Eneas__0921.xml	poniendo a algunos de ellos dura brida	11	B-cc_crossclause
Espronceda,_José_de__280n~~Dido_y_Eneas__0921.xml	que le haga mascar barro, escupir soda,	12	I-cc_crossclause
Sierra,_Justo__514n~~Funeral_bucólico__1931__II__02.xml	de las pastoras rompe en delirante	11	B-pb_adj_noun I-pb_noun_prep
Sierra,_Justo__514n~~Funeral_bucólico__1931__II__02.xml	grito de amor que llena el aire en ceso.	12	I-pb_adj_noun
Alba,_Armando_J.__627n~~La_poesía__2308.xml	canto el grandioso e inmortal poema	11	B-cc_crossclause I-ex_subj_verb
Alba,_Armando_J.__627n~~La_poesía__2308.xml	que dio vida y belleza al Universo.	12	I-cc_crossclause
Querolt,_Vicente_Wenceslao__263n~~La_fiesta_de_Venus__0853__I__01.xml	cuyos abrazos lánguidos y besos	4	B-pb_adj_noun
Querolt,_Vicente_Wenceslao__263n~~La_fiesta_de_Venus__0853__I__01.xml	dulces y prolongados, adormecen	5	B-ex_subj_verb I-pb_adj_noun
Althaus,_Clemente__373n~~A_un_cóndor_enjaulado__1398.xml	Mas yo pronto a las playas adoradas	11	B-pb_noun_prep
Althaus,_Clemente__373n~~A_un_cóndor_enjaulado__1398.xml	de mi dulce Perú tornar espero,	12	I-pb_noun_prep
Ugarte_y_Pages,_Francisco_Javier__342n~~El_Padre_Eterno__1145.xml	y yo bendeciré la excelsa mano	11	B-cc_crossclause
Ugarte_y_Pages,_Francisco_Javier__342n~~El_Padre_Eterno__1145.xml	que dirija mi paso vacilante:	12	I-cc_crossclause
Ugarte_y_Pages,_Francisco_Javier__342n~~La_sementera__1172.xml	¡Odio, muerte, exterminio!: las semillas	11	B-cc_crossclause I-pb_noun_prep
Ugarte_y_Pages,_Francisco_Javier__342n~~La_sementera__1172.xml	que a los surcos del crimen llevó el viento...	12	I-cc_crossclause
Valdés,_Gabriel_de_la_Concepción_(Plácido)__345n~~Despedida_a_mi_madre__1202.xml	Inocente, espontáneo, como el llanto	11	B-cc_crossclause
Valdés,_Gabriel_de_la_Concepción_(Plácido)__345n~~Despedida_a_mi_madre__1202.xml	que vertiera al nacer... ya el cuello inclino,	12	I-cc_crossclause
Heredia,_José_María__457n~~Desconfianza__1743.xml	Perdóname si tengo desconfianza	11	B-pb_noun_prep
Heredia,_José_María__457n~~Desconfianza__1743.xml	de que duren tu amor y tu terneza:	12	I-pb_noun_prep
Arnao,_Nicolás__256n~~A_puro_lomos__0820.xml	por vuestro amor prefiero el sacrificio	11	B-pb_noun_prep
Arnao,_Nicolás__256n~~A_puro_lomos__0820.xml	de cargar mi cosecha a puros lomos,	12	I-pb_noun_prep
Maristany,_Fernando__629n~~John_Keats__2325.xml	se me nubla de pronto la magia encantadora	11	B-pb_noun_prep
Maristany,_Fernando__629n~~John_Keats__2325.xml	del impulsivo amor. Y a solas, y a la orilla	12	B-pb_noun_prep I-pb_noun_prep
Sanchís_Sivera,_José__266n~~Soneto__0856.xml	sólo lo sabe Dios, y en su camino	11	B-pb_noun_prep I-cc_crossclause
Sanchís_Sivera,_José__266n~~Soneto__0856.xml	de llantos y desgracias desde el cielo,	12	I-pb_noun_prep
Sierra,_Justo__514n~~Florencia__1929.xml	sabré sentir tu luz, que retenida	11	B-pb_adj_prep
Sierra,_Justo__514n~~Florencia__1929.xml	por el mármol de Angelo, reparte	12	B-ex_dobj_verb I-pb_adj_prep
Alarcón,_Pedro_Antonio_de__404n~~En_el_muladar__1539.xml	y la sola esperanza, el solo amigo	11	B-pb_noun_prep
Alarcón,_Pedro_Antonio_de__404n~~En_el_muladar__1539.xml	del que llora, padece y necesita...	12	I-pb_noun_prep
