FileName	Line	LNbr	EnjType
LopezDeMendoza_25.xml	¿sentides, por ventura, los clamores	11	B-cc_crossclause
LopezDeMendoza_25.xml	que de Bisançio por letras oístes?	12	I-cc_crossclause
JuanaInesDeLaCruz_16.xml	mas luego la razón justa me advierte	11	B-ex_dobj_verb
JuanaInesDeLaCruz_16.xml	que sólo se remedia en publicarlo,	12	I-ex_dobj_verb
PedroDePadilla_38.xml	nunca lo tuvo ni tendrá la vida	8	B-pb_noun_prep I-ex_subj_verb
PedroDePadilla_38.xml	del sentido, la vida de la muerte,	9	I-pb_noun_prep
MiraDeAmescua_25.xml	al hombre hasta el sepulcro, y otra ha sido	4	B-ex_subj_verb I-pb_noun_prep
MiraDeAmescua_25.xml	la que infeliz y adversa le ha seguido	5	B-ex_subj_verb I-ex_subj_verb
FernandoDeHerrera_60.xml	de paciencia y valor, en el postrero	4	B-pb_adj_noun I-pb_adj_prep
FernandoDeHerrera_60.xml	trance, arrojando el yugo, desespero,	5	I-pb_adj_noun
LopezDeMendoza_27.xml	pues que el principio es çierto e sabemos	11	B-ex_dobj_verb
LopezDeMendoza_27.xml	en todas cosas ser lo más del fecho;	12	I-ex_dobj_verb
LopezDeMendoza_19.xml	que los leales; e si tal, sacadme	11	B-pb_verb_cprep
LopezDeMendoza_19.xml	de tan grand pena e sentid mi mal.	12	I-pb_verb_cprep
LopeDeVega_652.xml	por cuya gracia a vuestros pies están	11	B-ex_dobj_verb
LopeDeVega_652.xml	la luna, el cielo, el sol, el serafín,	12	I-ex_dobj_verb
LopeDeVega_770.xml	en pena, en vida, en muerte, en gloria quiero	11	B-ex_dobj_verb
LopeDeVega_770.xml	darte mi alma de cualquier manera,	12	I-ex_dobj_verb
BernardinoDeRebolledo_21.xml	vacilando los dientes certifican	11	B-ex_dobj_verb
BernardinoDeRebolledo_21.xml	la ruina que amenaza el edificio,	12	I-ex_dobj_verb
LopeDeVega_114.xml	dichoso yo que sin tener asida	11	B-ex_dobj_verb
LopeDeVega_114.xml	el alma al oro, a la esperanza el plato,	12	I-ex_dobj_verb
Quevedo_479.xml	y sólo alcanzarás puesto y oficio	11	B-pb_noun_prep
Quevedo_479.xml	de quien su iniquidad te manifiesta;	12	I-pb_noun_prep
LopezDeMendoza_17.xml	cuantas padezco desde la jornada	11	B-cc_crossclause
